Year,Alabama
1895,77.5
1896,77.4
1897,81.2
1898,80.4
1899,79.9
1900,76.3
1901,78.8
1902,81.2
1903,73.6
1904,78.1
1905,79.4
1906,79.1
1907,75.6
1908,78.0
1909,78.2
1910,75.5
1911,80.7
1912,75.1
1913,77.8
1914,83.1
1915,78.5
1916,77.1
1917,77.8
1918,79.6
1919,78.2
1920,76.9
1921,80.5
1922,78.5
1923,76.6
1924,79.5
1925,80.6
1926,77.3
1927,78.0
1928,75.8
1929,77.0
1930,76.8
1931,79.2
1932,78.5
1933,78.0
1934,79.4
1935,76.3
1936,80.3
1937,79.6
1938,76.6
1939,78.3
1940,76.4
1941,78.0
1942,77.8
1943,80.9
1944,80.2
1945,78.2
1946,75.7
1947,76.7
1948,78.8
1949,77.2
1950,77.6
1951,78.4
1952,82.0
1953,80.6
1954,79.0
1955,73.3
1956,76.2
1957,78.2
1958,77.9
1959,76.6
1960,77.3
1961,73.9
1962,77.0
1963,77.1
1964,78.4
1965,75.7
1966,74.2
1967,76.3
1968,77.6
1969,77.8
1970,75.3
1971,78.0
1972,75.0
1973,76.9
1974,73.4
1975,76.1
1976,74.6
1977,79.1
1978,78.0
1979,75.2
1980,77.4
1981,79.9
1982,76.3
1983,74.5
1984,77.0
1985,77.5
1986,79.0
1987,77.0
1988,77.1
1989,76.0
1990,77.6
1991,76.8
1992,74.9
1993,77.6
1994,77.8
1995,75.2
1996,76.7
1997,74.0
1998,80.7
1999,76.7
2000,77.6
2001,75.8
2002,77.2
2003,75.6
2004,76.8
2005,76.7
2006,78.1
2007,78.8
2008,78.7
2009,79.4
2010,80.9
2011,81.2
2012,76.8
2013,78.0
2014,77.9
2015,78.8
2016,79.2
2017,75.8
2018,79.3
2019,78.1
2020,76.9
2021,77.0
2022,80.2
2023,76.6
