Year,Arkansas
1895,76.7
1896,77.3
1897,77.7
1898,78.5
1899,77.0
1900,76.5
1901,78.8
1902,77.3
1903,70.3
1904,75.1
1905,77.4
1906,76.0
1907,74.7
1908,75.9
1909,76.5
1910,73.7
1911,80.4
1912,72.9
1913,76.8
1914,81.8
1915,75.5
1916,74.8
1917,74.8
1918,79.9
1919,76.3
1920,74.2
1921,78.1
1922,77.8
1923,76.3
1924,78.2
1925,81.4
1926,75.8
1927,75.4
1928,73.3
1929,75.8
1930,75.9
1931,77.8
1932,78.4
1933,77.8
1934,80.5
1935,74.2
1936,79.7
1937,78.1
1938,75.3
1939,77.7
1940,75.0
1941,75.9
1942,77.0
1943,79.7
1944,79.1
1945,75.1
1946,75.5
1947,76.6
1948,77.6
1949,77.8
1950,76.3
1951,76.0
1952,81.8
1953,83.1
1954,79.5
1955,72.7
1956,75.9
1957,76.5
1958,76.1
1959,75.1
1960,75.8
1961,73.2
1962,75.4
1963,77.6
1964,77.4
1965,75.7
1966,75.1
1967,76.6
1968,76.8
1969,75.6
1970,75.6
1971,78.7
1972,76.4
1973,76.0
1974,72.1
1975,75.6
1976,72.9
1977,78.7
1978,76.4
1979,74.6
1980,78.0
1981,77.9
1982,73.7
1983,74.0
1984,77.6
1985,76.1
1986,77.6
1987,76.9
1988,76.6
1989,74.1
1990,78.0
1991,77.8
1992,73.9
1993,76.4
1994,78.8
1995,74.6
1996,76.3
1997,74.3
1998,79.9
1999,76.5
2000,75.1
2001,75.5
2002,76.6
2003,73.1
2004,75.8
2005,77.5
2006,76.3
2007,77.1
2008,77.7
2009,78.8
2010,81.6
2011,81.7
2012,78.0
2013,77.1
2014,76.7
2015,78.1
2016,78.9
2017,75.5
2018,80.1
2019,75.6
2020,76.4
2021,76.9
2022,78.1
2023,77.3
