Year,California
1895,68.6
1896,70.9
1897,68.0
1898,68.7
1899,68.4
1900,69.8
1901,67.4
1902,69.1
1903,69.2
1904,69.2
1905,66.4
1906,65.5
1907,64.8
1908,64.5
1909,68.2
1910,66.8
1911,66.7
1912,67.5
1913,65.4
1914,66.8
1915,67.4
1916,66.4
1917,69.2
1918,73.9
1919,68.2
1920,67.3
1921,69.1
1922,69.7
1923,63.2
1924,69.9
1925,68.7
1926,72.4
1927,68.0
1928,68.3
1929,67.5
1930,69.0
1931,67.8
1932,68.9
1933,67.0
1934,66.2
1935,70.6
1936,69.5
1937,68.6
1938,69.4
1939,68.4
1940,72.5
1941,66.0
1942,67.5
1943,64.4
1944,63.7
1945,67.6
1946,67.5
1947,67.5
1948,67.2
1949,69.7
1950,67.0
1951,68.5
1952,64.3
1953,64.5
1954,66.4
1955,67.2
1956,68.7
1957,71.3
1958,67.9
1959,71.0
1960,73.1
1961,72.4
1962,68.2
1963,65.8
1964,66.3
1965,64.7
1966,68.8
1967,66.1
1968,70.0
1969,66.8
1970,69.4
1971,66.8
1972,69.8
1973,71.0
1974,70.8
1975,68.0
1976,67.9
1977,71.4
1978,69.0
1979,69.6
1980,65.5
1981,73.2
1982,66.4
1983,67.5
1984,68.2
1985,72.3
1986,71.2
1987,71.0
1988,68.2
1989,69.5
1990,69.4
1991,66.2
1992,69.0
1993,68.0
1994,70.9
1995,66.1
1996,70.4
1997,68.4
1998,65.2
1999,67.8
2000,72.2
2001,71.4
2002,71.2
2003,71.2
2004,70.4
2005,66.2
2006,73.2
2007,70.5
2008,71.1
2009,67.5
2010,69.1
2011,66.9
2012,69.3
2013,72.4
2014,71.9
2015,74.4
2016,73.5
2017,72.8
2018,71.4
2019,71.1
2020,70.4
2021,74.9
2022,72.1
2023,66.8
