Year,Georgia
1895,78.0
1896,78.0
1897,81.2
1898,80.6
1899,80.0
1900,76.6
1901,77.7
1902,79.6
1903,74.7
1904,77.5
1905,79.1
1906,78.9
1907,76.4
1908,77.9
1909,78.7
1910,75.2
1911,80.8
1912,75.6
1913,77.0
1914,82.0
1915,77.9
1916,77.1
1917,77.6
1918,78.7
1919,77.2
1920,77.4
1921,79.7
1922,78.5
1923,76.4
1924,79.4
1925,80.0
1926,77.3
1927,77.6
1928,76.3
1929,76.0
1930,75.7
1931,79.7
1932,77.9
1933,78.4
1934,78.8
1935,77.9
1936,78.8
1937,79.2
1938,75.7
1939,79.2
1940,77.6
1941,78.2
1942,78.0
1943,80.4
1944,80.3
1945,78.5
1946,76.2
1947,76.5
1948,78.6
1949,76.6
1950,78.5
1951,78.3
1952,82.1
1953,78.7
1954,78.7
1955,73.7
1956,76.6
1957,77.4
1958,77.6
1959,77.0
1960,76.7
1961,74.6
1962,76.7
1963,76.2
1964,78.8
1965,74.4
1966,73.6
1967,74.8
1968,76.7
1969,78.3
1970,75.6
1971,77.7
1972,73.6
1973,76.8
1974,74.1
1975,76.3
1976,74.4
1977,78.9
1978,78.0
1979,74.8
1980,77.2
1981,80.5
1982,77.2
1983,74.7
1984,77.2
1985,77.8
1986,79.7
1987,77.4
1988,76.4
1989,77.0
1990,78.2
1991,76.4
1992,75.2
1993,78.1
1994,77.6
1995,75.4
1996,76.7
1997,73.5
1998,80.9
1999,76.3
2000,78.0
2001,76.4
2002,77.4
2003,76.1
2004,78.1
2005,76.6
2006,77.4
2007,77.7
2008,79.4
2009,79.8
2010,81.0
2011,81.1
2012,75.6
2013,77.8
2014,78.3
2015,79.3
2016,79.7
2017,76.6
2018,79.3
2019,78.1
2020,76.9
2021,77.0
2022,80.1
2023,75.7
