Year,Illinois
1895,73.7
1896,71.0
1897,70.8
1898,72.9
1899,72.6
1900,70.3
1901,74.1
1902,68.6
1903,65.6
1904,68.9
1905,72.1
1906,69.8
1907,67.7
1908,69.8
1909,71.3
1910,69.3
1911,75.3
1912,67.8
1913,73.4
1914,75.0
1915,67.9
1916,66.3
1917,67.9
1918,71.5
1919,74.2
1920,71.3
1921,75.6
1922,73.2
1923,72.4
1924,69.2
1925,73.9
1926,67.6
1927,67.2
1928,66.0
1929,68.6
1930,71.0
1931,74.7
1932,73.2
1933,77.4
1934,78.2
1935,67.5
1936,71.9
1937,70.7
1938,69.8
1939,72.7
1940,72.3
1941,72.5
1942,71.6
1943,74.2
1944,75.1
1945,67.5
1946,71.4
1947,68.9
1948,71.2
1949,74.0
1950,70.2
1951,68.8
1952,76.9
1953,76.3
1954,75.5
1955,67.8
1956,73.3
1957,71.8
1958,67.2
1959,72.9
1960,69.6
1961,70.0
1962,71.7
1963,73.1
1964,73.0
1965,71.1
1966,71.0
1967,72.0
1968,72.7
1969,68.6
1970,70.2
1971,75.7
1972,69.0
1973,72.4
1974,67.4
1975,72.3
1976,70.9
1977,70.7
1978,72.0
1979,71.9
1980,70.5
1981,72.8
1982,66.9
1983,72.1
1984,74.5
1985,69.1
1986,72.9
1987,74.6
1988,73.6
1989,70.5
1990,71.9
1991,75.1
1992,68.8
1993,70.5
1994,73.8
1995,72.3
1996,71.5
1997,70.6
1998,71.8
1999,72.2
2000,70.3
2001,69.8
2002,73.9
2003,67.9
2004,70.0
2005,75.0
2006,71.4
2007,72.7
2008,73.2
2009,72.7
2010,74.9
2011,72.9
2012,72.6
2013,71.5
2014,73.0
2015,71.7
2016,74.8
2017,72.7
2018,74.9
2019,70.9
2020,73.6
2021,74.1
2022,73.4
2023,71.6
