Year,Kentucky
1895,75.0
1896,72.0
1897,72.6
1898,75.2
1899,75.1
1900,73.4
1901,75.0
1902,72.6
1903,68.0
1904,72.3
1905,74.3
1906,73.4
1907,69.6
1908,72.5
1909,73.9
1910,69.4
1911,74.7
1912,69.9
1913,74.2
1914,77.6
1915,71.1
1916,69.5
1917,70.2
1918,72.9
1919,75.7
1920,71.2
1921,76.7
1922,74.4
1923,73.1
1924,73.3
1925,76.0
1926,69.7
1927,69.4
1928,68.8
1929,71.0
1930,72.3
1931,74.5
1932,74.2
1933,75.9
1934,77.0
1935,69.7
1936,75.3
1937,73.8
1938,70.9
1939,74.9
1940,72.9
1941,74.1
1942,74.4
1943,77.4
1944,76.9
1945,71.0
1946,72.7
1947,71.7
1948,73.2
1949,74.2
1950,71.4
1951,72.6
1952,78.4
1953,76.4
1954,74.5
1955,67.5
1956,72.2
1957,73.8
1958,70.3
1959,71.6
1960,71.3
1961,69.5
1962,71.9
1963,71.9
1964,73.6
1965,71.6
1966,71.0
1967,71.7
1968,72.0
1969,72.5
1970,71.3
1971,74.5
1972,68.4
1973,73.4
1974,67.8
1975,72.3
1976,70.8
1977,71.5
1978,72.6
1979,70.8
1980,71.0
1981,73.8
1982,68.9
1983,71.3
1984,74.8
1985,70.9
1986,73.8
1987,74.3
1988,72.4
1989,71.4
1990,72.2
1991,74.0
1992,68.8
1993,71.8
1994,74.6
1995,72.0
1996,72.4
1997,70.1
1998,73.5
1999,73.5
2000,73.1
2001,71.0
2002,74.3
2003,68.7
2004,72.1
2005,73.9
2006,71.4
2007,73.7
2008,74.3
2009,73.9
2010,77.0
2011,74.2
2012,72.5
2013,72.9
2014,74.1
2015,74.2
2016,74.9
2017,71.7
2018,75.5
2019,71.9
2020,72.6
2021,73.4
2022,74.1
2023,70.2
