Year,Michigan
1895,66.0
1896,64.3
1897,59.8
1898,64.0
1899,64.4
1900,62.3
1901,64.9
1902,58.8
1903,59.1
1904,62.3
1905,61.9
1906,63.0
1907,61.6
1908,63.6
1909,63.4
1910,63.1
1911,65.7
1912,60.9
1913,65.0
1914,62.6
1915,58.3
1916,58.2
1917,58.2
1918,61.4
1919,69.4
1920,63.9
1921,67.9
1922,64.1
1923,66.1
1924,60.4
1925,65.1
1926,58.3
1927,59.5
1928,58.7
1929,59.9
1930,64.7
1931,65.6
1932,65.2
1933,69.2
1934,67.1
1935,60.0
1936,61.2
1937,63.0
1938,62.6
1939,64.9
1940,62.8
1941,65.4
1942,64.0
1943,66.3
1944,65.7
1945,59.9
1946,62.4
1947,60.8
1948,62.5
1949,67.7
1950,63.0
1951,61.7
1952,65.9
1953,65.4
1954,66.2
1955,63.9
1956,65.4
1957,63.8
1958,58.6
1959,65.4
1960,61.4
1961,62.4
1962,63.1
1963,65.0
1964,63.9
1965,61.8
1966,65.2
1967,65.4
1968,62.7
1969,58.5
1970,63.9
1971,67.0
1972,60.0
1973,65.3
1974,61.4
1975,64.5
1976,66.2
1977,61.2
1978,62.4
1979,62.7
1980,60.3
1981,63.7
1982,58.5
1983,63.9
1984,65.6
1985,60.0
1986,61.5
1987,67.2
1988,65.9
1989,62.5
1990,63.5
1991,67.3
1992,60.3
1993,61.4
1994,65.0
1995,67.4
1996,64.3
1997,65.6
1998,63.8
1999,66.4
2000,63.5
2001,64.4
2002,65.6
2003,62.1
2004,62.0
2005,69.4
2006,64.3
2007,67.1
2008,64.8
2009,62.5
2010,64.9
2011,64.2
2012,66.5
2013,63.8
2014,65.2
2015,62.5
2016,64.7
2017,65.3
2018,65.2
2019,62.5
2020,66.0
2021,67.8
2022,65.0
2023,64.6
