Year,Nebraska
1895,66.2
1896,68.8
1897,67.7
1898,69.5
1899,68.6
1900,70.8
1901,69.3
1902,65.3
1903,63.2
1904,65.3
1905,67.6
1906,65.6
1907,66.2
1908,65.5
1909,68.1
1910,68.5
1911,74.0
1912,64.5
1913,69.9
1914,71.3
1915,63.1
1916,64.0
1917,65.9
1918,72.5
1919,69.0
1920,67.6
1921,71.6
1922,71.1
1923,67.9
1924,66.1
1925,69.6
1926,67.1
1927,65.8
1928,61.9
1929,66.5
1930,67.1
1931,74.8
1932,69.0
1933,76.6
1934,73.8
1935,65.5
1936,71.7
1937,67.6
1938,69.7
1939,69.0
1940,70.6
1941,67.5
1942,66.9
1943,68.1
1944,68.0
1945,61.2
1946,69.7
1947,64.4
1948,67.3
1949,68.9
1950,68.0
1951,61.9
1952,74.2
1953,72.4
1954,70.3
1955,64.7
1956,73.9
1957,66.6
1958,66.5
1959,71.7
1960,66.7
1961,68.7
1962,66.7
1963,72.4
1964,67.7
1965,67.3
1966,68.4
1967,65.2
1968,70.1
1969,63.8
1970,69.0
1971,71.6
1972,69.3
1973,69.3
1974,67.8
1975,66.7
1976,68.6
1977,71.8
1978,69.4
1979,67.9
1980,71.0
1981,70.2
1982,63.5
1983,66.3
1984,69.1
1985,66.1
1986,71.6
1987,71.0
1988,74.8
1989,66.0
1990,71.0
1991,71.6
1992,65.2
1993,65.3
1994,71.1
1995,66.6
1996,69.5
1997,69.4
1998,65.0
1999,66.9
2000,67.6
2001,68.5
2002,73.9
2003,66.1
2004,65.2
2005,70.0
2006,71.8
2007,69.2
2008,67.5
2009,66.8
2010,69.6
2011,68.2
2012,73.4
2013,68.8
2014,68.1
2015,69.8
2016,73.3
2017,70.7
2018,72.2
2019,68.0
2020,73.5
2021,72.8
2022,71.4
2023,69.8
