Year,New York
1895,67.3
1896,63.0
1897,60.0
1898,65.2
1899,65.8
1900,65.3
1901,65.6
1902,60.2
1903,59.3
1904,63.9
1905,63.0
1906,64.8
1907,61.6
1908,64.8
1909,64.0
1910,61.5
1911,63.0
1912,60.4
1913,62.6
1914,62.2
1915,61.6
1916,59.5
1917,61.7
1918,59.7
1919,67.9
1920,62.7
1921,64.5
1922,64.4
1923,64.7
1924,61.1
1925,66.2
1926,59.0
1927,59.3
1928,60.3
1929,62.8
1930,66.0
1931,63.6
1932,63.1
1933,66.2
1934,66.6
1935,62.7
1936,63.9
1937,64.1
1938,64.0
1939,64.0
1940,62.4
1941,65.1
1942,64.5
1943,68.0
1944,64.7
1945,62.4
1946,62.2
1947,62.6
1948,62.6
1949,68.8
1950,63.0
1951,62.9
1952,65.0
1953,64.7
1954,65.0
1955,63.7
1956,64.0
1957,67.0
1958,58.8
1959,64.3
1960,63.1
1961,63.0
1962,64.2
1963,64.0
1964,62.5
1965,61.7
1966,64.0
1967,67.0
1968,62.3
1969,63.1
1970,62.9
1971,64.5
1972,61.2
1973,66.2
1974,62.8
1975,64.3
1976,66.3
1977,61.0
1978,62.6
1979,62.6
1980,60.3
1981,64.0
1982,60.7
1983,64.4
1984,64.8
1985,59.5
1986,61.6
1987,65.2
1988,61.8
1989,64.7
1990,63.9
1991,65.5
1992,61.2
1993,62.4
1994,65.8
1995,66.1
1996,65.3
1997,64.9
1998,63.7
1999,66.7
2000,63.5
2001,64.8
2002,64.3
2003,62.6
2004,62.0
2005,69.1
2006,64.4
2007,65.7
2008,66.6
2009,62.1
2010,65.1
2011,65.1
2012,64.6
2013,64.0
2014,65.0
2015,63.0
2016,64.1
2017,63.9
2018,63.4
2019,62.9
2020,65.2
2021,67.1
2022,63.8
2023,63.2
