Year,North Carolina
1895,74.6
1896,73.5
1897,74.8
1898,75.0
1899,75.7
1900,74.3
1901,73.6
1902,74.3
1903,70.1
1904,73.2
1905,74.2
1906,74.4
1907,69.6
1908,72.5
1909,75.2
1910,70.8
1911,76.1
1912,71.8
1913,73.0
1914,77.0
1915,71.5
1916,71.8
1917,72.9
1918,72.6
1919,73.1
1920,73.0
1921,75.2
1922,74.9
1923,75.1
1924,74.8
1925,76.7
1926,72.9
1927,71.3
1928,73.0
1929,72.0
1930,72.3
1931,74.2
1932,74.6
1933,75.5
1934,76.3
1935,74.6
1936,73.9
1937,75.8
1938,72.1
1939,77.3
1940,75.4
1941,74.0
1942,75.8
1943,78.3
1944,76.8
1945,74.8
1946,73.0
1947,72.7
1948,74.4
1949,74.6
1950,73.9
1951,74.3
1952,78.6
1953,74.3
1954,74.4
1955,69.5
1956,73.9
1957,74.9
1958,72.7
1959,73.3
1960,73.6
1961,71.5
1962,72.4
1963,72.0
1964,74.4
1965,70.9
1966,70.8
1967,70.2
1968,72.9
1969,74.8
1970,73.1
1971,74.6
1972,69.3
1973,74.1
1974,70.5
1975,73.2
1976,71.6
1977,72.5
1978,73.4
1979,69.8
1980,72.2
1981,77.0
1982,72.6
1983,71.7
1984,74.4
1985,73.7
1986,75.9
1987,74.8
1988,72.0
1989,75.1
1990,73.7
1991,74.0
1992,70.5
1993,74.4
1994,75.5
1995,72.2
1996,73.9
1997,70.3
1998,75.8
1999,72.4
2000,75.0
2001,74.3
2002,75.2
2003,72.5
2004,74.4
2005,73.5
2006,73.1
2007,74.1
2008,77.1
2009,75.1
2010,78.8
2011,77.0
2012,72.3
2013,74.3
2014,75.2
2015,77.3
2016,75.3
2017,73.8
2018,76.8
2019,74.2
2020,73.2
2021,73.8
2022,75.0
2023,71.1
