Year,North Dakota
1895,59.1
1896,64.6
1897,61.7
1898,62.2
1899,61.8
1900,66.9
1901,61.4
1902,57.7
1903,62.1
1904,60.7
1905,59.4
1906,62.1
1907,62.0
1908,60.6
1909,63.3
1910,66.8
1911,67.0
1912,61.7
1913,65.8
1914,62.4
1915,56.8
1916,58.0
1917,59.8
1918,63.3
1919,67.3
1920,62.3
1921,68.4
1922,64.6
1923,65.9
1924,58.8
1925,61.4
1926,60.8
1927,61.4
1928,58.2
1929,61.4
1930,63.2
1931,68.2
1932,66.8
1933,70.6
1934,64.1
1935,60.4
1936,66.4
1937,63.2
1938,64.2
1939,60.1
1940,63.1
1941,64.2
1942,60.0
1943,60.3
1944,61.8
1945,57.5
1946,63.2
1947,59.6
1948,62.3
1949,63.6
1950,62.0
1951,58.3
1952,64.8
1953,62.7
1954,61.0
1955,61.8
1956,68.2
1957,60.8
1958,58.6
1959,66.1
1960,61.3
1961,68.2
1962,63.6
1963,66.1
1964,62.2
1965,62.4
1966,63.3
1967,61.4
1968,61.1
1969,56.9
1970,67.1
1971,64.7
1972,64.3
1973,63.9
1974,63.8
1975,62.8
1976,65.6
1977,65.2
1978,63.1
1979,63.6
1980,64.6
1981,60.9
1982,59.4
1983,62.8
1984,63.2
1985,58.4
1986,65.8
1987,67.5
1988,74.1
1989,62.3
1990,64.3
1991,66.2
1992,61.4
1993,58.8
1994,63.9
1995,66.3
1996,65.1
1997,67.2
1998,59.8
1999,62.6
2000,60.4
2001,62.7
2002,65.6
2003,62.0
2004,59.1
2005,64.9
2006,65.3
2007,65.3
2008,60.8
2009,60.7
2010,63.1
2011,62.4
2012,65.5
2013,63.3
2014,62.5
2015,65.1
2016,66.0
2017,64.8
2018,67.4
2019,64.0
2020,66.9
2021,69.3
2022,64.6
2023,69.3
