Year,Wyoming
1895,53.2
1896,60.0
1897,58.0
1898,58.4
1899,55.7
1900,62.9
1901,54.8
1902,57.0
1903,57.0
1904,55.0
1905,56.3
1906,54.4
1907,53.7
1908,53.8
1909,58.3
1910,60.3
1911,61.0
1912,56.8
1913,59.0
1914,57.4
1915,52.4
1916,55.0
1917,54.4
1918,62.6
1919,61.7
1920,56.1
1921,60.6
1922,60.5
1923,57.1
1924,56.5
1925,56.6
1926,58.6
1927,57.0
1928,52.6
1929,56.0
1930,56.9
1931,62.2
1932,57.7
1933,63.4
1934,58.8
1935,57.4
1936,62.2
1937,56.6
1938,59.4
1939,55.8
1940,61.3
1941,57.6
1942,55.6
1943,55.5
1944,54.7
1945,52.2
1946,58.0
1947,52.9
1948,58.4
1949,56.6
1950,55.8
1951,51.5
1952,60.1
1953,59.0
1954,57.2
1955,55.4
1956,62.1
1957,56.4
1958,58.0
1959,61.5
1960,59.4
1961,61.8
1962,57.0
1963,58.0
1964,55.5
1965,55.9
1966,57.2
1967,54.2
1968,56.8
1969,53.3
1970,58.1
1971,58.7
1972,59.7
1973,58.1
1974,60.6
1975,54.1
1976,56.3
1977,63.0
1978,57.6
1979,57.8
1980,59.3
1981,58.7
1982,55.1
1983,56.1
1984,56.6
1985,58.2
1986,62.3
1987,60.1
1988,66.4
1989,57.0
1990,59.5
1991,59.2
1992,58.5
1993,54.3
1994,61.1
1995,55.4
1996,60.6
1997,60.0
1998,52.4
1999,56.7
2000,58.3
2001,59.9
2002,61.3
2003,56.1
2004,56.6
2005,57.2
2006,62.6
2007,61.0
2008,56.4
2009,55.4
2010,57.4
2011,56.4
2012,62.8
2013,60.7
2014,56.4
2015,63.0
2016,63.8
2017,60.0
2018,60.4
2019,57.0
2020,59.7
2021,64.9
2022,59.0
2023,57.4
